date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-11-18,RELIANCE,456.0,465.649994,454.975006,463.799988,5142766.0,436.671021,0,0,0,5142766.0,0,0
2015-11-19,RELIANCE,467.375,469.350006,458.625,459.450012,5569752.0,447.563873,0,0,0,5569752.0,0,0
2015-11-20,RELIANCE,473.424988,476.399994,462.774994,467.0,5167930.0,453.357422,0,0,0,5167930.0,0,0
2015-11-23,RELIANCE,476.875,478.950012,473.100006,475.0,4800026.0,456.661224,0,0,0,4800026.0,0,0
2015-11-24,RELIANCE,483.850006,485.799988,475.524994,476.5,6768886.0,463.340515,0,0,0,6768886.0,0,0
2015-11-26,RELIANCE,494.325012,495.975006,484.125,485.5,10883224.0,473.371552,0,0,0,10883224.0,0,0
2015-11-27,RELIANCE,489.524994,496.25,487.049988,494.5,4979394.0,468.774963,0,0,0,4979394.0,0,0
2015-11-30,RELIANCE,483.549988,492.200012,481.149994,489.25,13678054.0,463.053223,0,0,0,13678054.0,0,0
2015-12-01,RELIANCE,482.950012,489.399994,480.625,482.0,5934650.0,462.478699,0,0,0,5934650.0,0,0
2015-12-02,RELIANCE,488.975006,489.850006,482.25,483.125,3462408.0,468.248291,0,0,0,3462408.0,0,0
2015-12-03,RELIANCE,488.600006,494.475006,487.049988,487.450012,5194048.0,467.88916,0,0,0,5194048.0,0,0
2015-12-04,RELIANCE,482.725006,488.100006,480.700012,486.149994,6146002.0,462.263214,0,0,0,6146002.0,0,0
2015-12-07,RELIANCE,476.024994,486.5,474.875,482.725006,6621556.0,455.847229,0,0,0,6621556.0,0,0
2015-12-08,RELIANCE,470.450012,476.799988,468.049988,474.450012,3443452.0,450.508545,0,0,0,3443452.0,0,0
2015-12-09,RELIANCE,457.950012,471.725006,456.424988,468.100006,4194236.0,438.538361,0,0,0,4194236.0,0,0
2015-12-10,RELIANCE,475.174988,476.899994,460.0,461.25,8499730.0,455.033234,0,0,0,8499730.0,0,0
2015-12-11,RELIANCE,476.475006,479.5,471.450012,475.875,8300090.0,456.278137,0,0,0,8300090.0,0,0
2015-12-14,RELIANCE,477.549988,481.75,473.0,473.799988,4829460.0,457.307526,0,0,0,4829460.0,0,0
2015-12-15,RELIANCE,487.950012,488.975006,476.825012,478.5,7186122.0,467.266724,0,0,0,7186122.0,0,0
