date,open,high,low,close,adj close,volume,open_predicted,close_predicted
2019-11-06,1442.699951,1446.449951,1428.5,1434.900024,1429.532349,6686289.0,0.6815989290665623,0.12945104703723198
2019-11-07,1435.0,1463.0,1432.199951,1458.599976,1453.143677,6438749.0,0.46347840139018737,0.4629335077429736
2019-11-08,1449.0,1459.650024,1441.300049,1445.5,1440.092651,5494844.0,0.15720096500648573,0.8476976999257585
2019-11-11,1439.099976,1444.25,1422.550049,1427.800049,1422.458984,5192423.0,0.03463469590416679,0.18534063278642643
2019-11-13,1430.0,1475.900024,1430.0,1472.300049,1466.79248,11532364.0,0.32060564719235773,0.27096661439906233
2019-11-14,1476.0,1481.599976,1455.800049,1462.75,1457.278198,6518339.0,0.19505945066795727,0.7565068404229127
2019-11-15,1465.650024,1486.800049,1463.150024,1470.849976,1465.347778,7173674.0,0.7278724596828724,0.9412648593792867
2019-11-18,1472.650024,1486.0,1455.400024,1459.199951,1453.741455,6435097.0,0.19921357417402508,0.6836776232574439
2019-11-19,1467.0,1514.900024,1465.0,1509.75,1504.102295,13795569.0,0.5428334151003161,0.2142550368596322
2019-11-20,1555.050049,1572.400024,1543.199951,1547.650024,1541.860596,19904164.0,0.59478369481107,0.7534855579901589
2019-11-21,1545.0,1556.0,1528.550049,1537.599976,1531.848145,6810577.0,0.4150884168954695,0.43805164017668574
2019-11-22,1542.099976,1569.5,1537.599976,1546.5,1540.714844,10218978.0,0.5417109461225272,0.6082240202180408
2019-11-25,1551.150024,1564.800049,1551.0,1561.550049,1555.708618,6924313.0,0.30448434173647765,0.6289021229532983
2019-11-26,1568.099976,1576.349976,1556.0,1560.25,1554.413452,16152137.0,0.5780861762956366,0.282474137386591
2019-11-27,1559.949951,1575.5,1556.099976,1569.849976,1563.977539,4408336.0,0.40036856101585827,0.4683255082189973
2019-11-28,1572.650024,1584.150024,1563.949951,1580.300049,1574.388428,6284885.0,0.3869047040753669,0.4472843235398687
2019-11-29,1581.949951,1581.949951,1547.849976,1551.150024,1545.347534,8484822.0,0.4787996998707441,0.18675310094405018
2019-12-02,1600.0,1614.449951,1577.0,1586.5,1580.565186,14275186.0,0.3584652651626252,0.3412966700671587
2019-12-03,1592.75,1594.0,1572.599976,1578.900024,1572.993652,5938786.0,0.25602732947346984,0.7210532921202112
2019-12-04,1573.0,1577.5,1533.75,1552.699951,1546.891602,9594828.0,0.7567336063854874,0.9350809340497906
2019-12-05,1574.0,1579.75,1544.0,1550.849976,1545.048584,9117022.0,0.9932584127669154,0.00965960974568214
2019-12-06,1553.0,1568.0,1541.099976,1554.900024,1549.083496,5982129.0,0.022130099092828703,0.2447652465677398
2019-12-09,1556.150024,1577.400024,1546.5,1572.599976,1566.717163,5779807.0,0.7605540020002534,0.4776515861768591
2019-12-10,1572.050049,1573.599976,1554.150024,1561.949951,1556.107056,4650906.0,0.7831719940976071,0.6650703252206966
2019-12-11,1555.599976,1574.5,1550.599976,1562.400024,1556.55542,5652698.0,0.3775521747765538,0.5923336674367627
2019-12-12,1570.25,1573.849976,1556.650024,1568.199951,1562.333618,4720977.0,0.6607129679187869,0.11391931668069721
2019-12-13,1580.0,1590.0,1572.400024,1582.900024,1576.97876,5791522.0,0.06701524522368774,0.03672692371916164
2019-12-16,1592.0,1593.900024,1564.349976,1566.599976,1560.739624,5436951.0,0.1139965278941466,0.23467129189991254
2019-12-17,1566.75,1579.0,1555.550049,1562.699951,1556.854248,9291724.0,0.05566622376053798,0.1134047137551294
2019-12-18,1563.0,1580.0,1562.0,1575.849976,1569.955078,6739582.0,0.550312015347848,0.6710944002439455
2019-12-19,1573.699951,1614.900024,1571.800049,1609.949951,1603.92749,9375484.0,0.03147825994884679,0.06507498355901942
2019-12-20,1615.0,1617.550049,1596.099976,1599.099976,1593.118042,9724619.0,0.17602477074098677,0.4725476831948563
2019-12-23,1560.099976,1577.550049,1557.800049,1571.400024,1565.521729,11478429.0,0.5450975538236865,0.9083006107495867
2019-12-24,1568.900024,1572.050049,1542.5,1546.449951,1540.665039,8251144.0,0.7834493642833226,0.2193588094397333
2019-12-26,1541.650024,1552.949951,1510.150024,1515.400024,1509.731201,13605737.0,0.6215019561521294,0.021704144490434896
2019-12-27,1527.0,1546.199951,1521.300049,1542.349976,1536.580322,8081591.0,0.23690416933319924,0.3420157803212447
2019-12-30,1545.949951,1547.650024,1528.050049,1544.199951,1538.423462,7828402.0,0.12981460664593658,0.6284295332007983
2019-12-31,1542.0,1543.699951,1508.050049,1514.050049,1508.386353,10150467.0,0.2060289113242041,0.47541042254153465
2020-01-01,1518.0,1527.099976,1505.5,1509.599976,1503.952881,6402372.0,0.05122729616545685,0.02423019429946638
2020-01-02,1512.0,1540.949951,1512.0,1535.300049,1529.556763,8096561.0,0.6375226224278797,0.7389873529465774
2020-01-03,1533.0,1541.650024,1523.0,1537.150024,1531.399902,9593498.0,0.8838732773308824,0.780137765516903
2020-01-06,1520.0,1527.900024,1498.0,1501.5,1495.883179,11209343.0,0.3674932344991858,0.06357104849421069
2020-01-07,1519.0,1534.5,1513.5,1524.599976,1518.896729,7627191.0,0.9967856235077807,0.2697326982359186
